,feature,coef
285,blurb__acts,-0.6845023638925638
286,blurb__actual,-0.7185692803016378
287,blurb__actually,0.02777948389632061
288,blurb__ad,0.12642621578312
289,blurb__adam,0.26526372815867
290,blurb__adapt,0.14274374771411383
291,blurb__adaptation,0.4940155383549786
292,blurb__adapted,0.4240277667113944
293,blurb__adapter,-0.23014172407545228
294,blurb__add,0.18419260830812267
295,blurb__added,0.21315583389902035
296,blurb__addiction,0.15569231464493674
297,blurb__addictive,-0.2890624684950274
298,blurb__adding,0.16930797557311505
299,blurb__addition,-0.06363518713155206
300,blurb__additional,-0.14887537562803863
301,blurb__adds,-0.20258661005124678
302,blurb__adjust,0.5692413907566695
303,blurb__adjustable,0.2649928799867488
304,blurb__adopted,0.02811357055033771
305,blurb__adorable,0.7673953286510283
306,blurb__ads,0.4008788643780597
307,blurb__adult,-0.15431303681811476
308,blurb__adults,-0.3665427450911888
309,blurb__advance,-0.6128253899187717
310,blurb__advanced,0.4482145013400015
311,blurb__adventure,0.5337997729545412
312,blurb__adventurers,0.6023448340659533
313,blurb__adventures,-0.30477004362523985
314,blurb__adventurous,0.2337177881593503
315,blurb__advertising,-1.200516019558536
316,blurb__advice,0.2414047971002621
317,blurb__aerial,-0.1292261858729931
318,blurb__aesthetic,0.18897045184090083
319,blurb__aesthetics,0.41208764507460754
320,blurb__affected,-0.3435710069684393
321,blurb__afford,-1.0174565100018986
322,blurb__affordable,-0.09219981920246961
323,blurb__afraid,-0.04168485211515203
324,blurb__africa,0.387342144702734
325,blurb__african,-0.43623102606489705
326,blurb__aftermath,0.2614048085677557
327,blurb__age,0.15488084213029302
328,blurb__aged,0.5846799654792634
329,blurb__agency,-0.04360612908474639
330,blurb__agent,-0.2717600832363902
331,blurb__agents,-0.1323817487130328
332,blurb__ages,0.32180000746264326
333,blurb__aging,0.9307506581162747
334,blurb__ago,-0.554870497195584
335,blurb__ahead,0.23973862710667423
336,blurb__ai,0.17982090819928276
337,blurb__aid,-0.2637275172542625
338,blurb__aim,-1.2343891336212924
339,blurb__aimed,-0.8836240900314368
340,blurb__aiming,-0.24695123719873965
341,blurb__aims,-0.5438996449450036
342,blurb__air,-0.06556056994144717
343,blurb__aircraft,-0.026864212648113065
344,blurb__aka,0.24039735114030442
345,blurb__al,-0.5250644905016146
346,blurb__alarm,-0.35936617817276173
347,blurb__alaska,0.298913349368705
348,blurb__album,0.8132308519506218
349,blurb__albums,-0.11898137317256569
350,blurb__alcohol,0.36830714086417127
351,blurb__alcoholic,-0.5315282633803711
352,blurb__alert,-0.621819733463883
353,blurb__alerts,0.5905371267441151
354,blurb__alex,0.13690757404716017
355,blurb__alice,0.5827985759082221
356,blurb__alien,-0.19896545795642553
357,blurb__aliens,-0.42390176221246056
358,blurb__alike,-0.12159597863509058
359,blurb__alive,0.10714547995383535
360,blurb__allies,0.25280864550545384
361,blurb__allow,-0.7006861197246566
362,blurb__allowing,-1.187577431142736
363,blurb__allows,-0.9608353914042597
