,timestamp,open,high,low,close,fx_daily_mean
269,2024-11-08,1.08021,1.0805,1.06865,1.07182,1.07529
270,2024-11-07,1.07262,1.08247,1.07125,1.08038,1.07668
271,2024-11-06,1.09265,1.09369,1.06822,1.07269,1.08181
272,2024-11-05,1.08757,1.09365,1.08721,1.09288,1.09033
273,2024-11-04,1.0879,1.09147,1.08695,1.08767,1.0885
274,2024-11-01,1.08821,1.09057,1.08315,1.0834,1.08633
275,2024-10-31,1.08571,1.08881,1.08438,1.0882,1.08678
276,2024-10-30,1.08147,1.08713,1.08076,1.08569,1.08376
277,2024-10-29,1.08134,1.08263,1.07687,1.0814,1.08056
278,2024-10-28,1.07935,1.08276,1.07817,1.08134,1.0804
279,2024-10-25,1.0828,1.08393,1.07927,1.0793,1.08133
280,2024-10-24,1.07824,1.083,1.07702,1.08278,1.08026
281,2024-10-23,1.0798,1.08067,1.07609,1.0783,1.07871
282,2024-10-22,1.08149,1.08381,1.07922,1.07982,1.08109
283,2024-10-21,1.0866,1.0872,1.08108,1.08147,1.08409
284,2024-10-18,1.08316,1.08694,1.0825,1.0865,1.08478
285,2024-10-17,1.08627,1.08737,1.08106,1.08318,1.08447
286,2024-10-16,1.08918,1.09014,1.0853,1.08628,1.08772
287,2024-10-15,1.09077,1.09167,1.08816,1.08919,1.08995
288,2024-10-14,1.09312,1.09366,1.0888,1.09059,1.09154
289,2024-10-11,1.0935,1.09537,1.09257,1.09353,1.09374
290,2024-10-10,1.09405,1.09548,1.08998,1.09349,1.09325
291,2024-10-09,1.09785,1.0981,1.09359,1.09403,1.09589
292,2024-10-08,1.09735,1.09971,1.09606,1.09778,1.09772
293,2024-10-07,1.09682,1.0987,1.0954,1.09733,1.09706
294,2024-10-04,1.10318,1.10396,1.0951,1.09739,1.09991
295,2024-10-03,1.10478,1.1049,1.1008,1.10321,1.10342
296,2024-10-02,1.10685,1.10828,1.10323,1.10474,1.10578
297,2024-10-01,1.1135,1.1144,1.10455,1.10676,1.1098
298,2024-09-30,1.11583,1.12089,1.11132,1.11349,1.11538
299,2024-09-27,1.11747,1.1203,1.11247,1.1161,1.11659
300,2024-09-26,1.11325,1.11893,1.11255,1.11748,1.11555
301,2024-09-25,1.11786,1.1214,1.1121,1.1133,1.11616
302,2024-09-24,1.11118,1.1181,1.11029,1.11783,1.11435
303,2024-09-23,1.11612,1.11672,1.10829,1.1111,1.11306
304,2024-09-20,1.11612,1.11819,1.11357,1.11617,1.11601
305,2024-09-19,1.11156,1.1179,1.10681,1.11613,1.1131
306,2024-09-18,1.1113,1.11891,1.10965,1.11156,1.11286
307,2024-09-17,1.11302,1.11461,1.11106,1.11127,1.11249
308,2024-09-16,1.10745,1.11376,1.10743,1.1131,1.11044
309,2024-09-13,1.10735,1.11019,1.107,1.10737,1.10798
310,2024-09-12,1.10124,1.10751,1.10052,1.10735,1.10416
311,2024-09-11,1.10192,1.1055,1.10017,1.10128,1.10222
312,2024-09-10,1.10364,1.10498,1.10149,1.1019,1.103
313,2024-09-09,1.10826,1.10911,1.1033,1.10357,1.10606
314,2024-09-06,1.11083,1.11556,1.10653,1.1083,1.11031
315,2024-09-05,1.10831,1.11197,1.10744,1.1108,1.10963
316,2024-09-04,1.10445,1.10952,1.10382,1.1082,1.1065
317,2024-09-03,1.10701,1.1073,1.1026,1.1045,1.10535
318,2024-09-02,1.10464,1.10775,1.10416,1.10702,1.10589
319,2024-08-30,1.10779,1.1095,1.10436,1.10465,1.10657
320,2024-08-29,1.11188,1.11399,1.10553,1.1078,1.1098
321,2024-08-28,1.11827,1.1185,1.11046,1.11188,1.11478
322,2024-08-27,1.11604,1.11906,1.11501,1.11824,1.11709
323,2024-08-26,1.11903,1.12015,1.11498,1.11604,1.11755
324,2024-08-23,1.11112,1.1201,1.11052,1.11913,1.11522
325,2024-08-22,1.11482,1.11649,1.10976,1.11108,1.11304
326,2024-08-21,1.11285,1.11741,1.10992,1.11481,1.11375
327,2024-08-20,1.10835,1.11304,1.10716,1.11286,1.11035
328,2024-08-19,1.10247,1.10864,1.10215,1.1083,1.10539
329,2024-08-16,1.09719,1.10297,1.09702,1.10253,1.09993
330,2024-08-15,1.10111,1.1016,1.0949,1.09717,1.0987
331,2024-08-14,1.09914,1.10264,1.0986,1.10253,1.10073
332,2024-08-13,1.09314,1.09997,1.09134,1.09914,1.0959
333,2024-08-12,1.09183,1.09395,1.09097,1.09317,1.09248
334,2024-08-09,1.09162,1.09314,1.09087,1.09148,1.09178
335,2024-08-08,1.09228,1.09451,1.08812,1.09164,1.09164
336,2024-08-07,1.09285,1.09366,1.0905,1.09226,1.09232
337,2024-08-06,1.09526,1.09631,1.09035,1.0929,1.0937
338,2024-08-05,1.09195,1.1009,1.08923,1.09524,1.09433
339,2024-08-02,1.07909,1.0927,1.07816,1.09098,1.08523
340,2024-08-01,1.08269,1.08354,1.07772,1.0791,1.08076
341,2024-07-31,1.08128,1.08494,1.08017,1.08268,1.08227
342,2024-07-30,1.08225,1.08358,1.0798,1.08131,1.08173
343,2024-07-29,1.08557,1.087,1.08025,1.08223,1.08376
344,2024-07-26,1.08448,1.08683,1.08418,1.0855,1.08525
345,2024-07-25,1.08393,1.08701,1.08278,1.08449,1.08455
346,2024-07-24,1.08534,1.08666,1.08253,1.084,1.08463
347,2024-07-23,1.08894,1.08968,1.08436,1.08531,1.08707
348,2024-07-22,1.08844,1.0903,1.08727,1.089,1.08875
349,2024-07-19,1.08974,1.0902,1.08753,1.08822,1.08892
350,2024-07-18,1.09378,1.0941,1.0893,1.08975,1.09173
351,2024-07-17,1.08988,1.09481,1.08949,1.09378,1.09199
352,2024-07-16,1.08946,1.09056,1.08712,1.08977,1.08923
353,2024-07-15,1.08882,1.09223,1.08829,1.08946,1.0897
354,2024-07-12,1.08659,1.09114,1.086,1.09054,1.08857
355,2024-07-11,1.08289,1.08999,1.0828,1.08659,1.08557
356,2024-07-10,1.08139,1.08305,1.08105,1.08289,1.0821
357,2024-07-09,1.08244,1.08333,1.0805,1.0814,1.08192
358,2024-07-08,1.08178,1.08451,1.08143,1.08241,1.08253
359,2024-07-05,1.08111,1.08426,1.07968,1.0837,1.08219
360,2024-07-04,1.07855,1.0814,1.07834,1.0811,1.07985
361,2024-07-03,1.07446,1.08169,1.0736,1.07855,1.07708
362,2024-07-02,1.07384,1.07472,1.07097,1.07446,1.0735
363,2024-07-01,1.0738,1.07765,1.07195,1.07384,1.07431
364,2024-06-28,1.0705,1.07248,1.06851,1.07112,1.07065
365,2024-06-27,1.06795,1.07264,1.06767,1.07048,1.06968
366,2024-06-26,1.07123,1.0718,1.06658,1.06799,1.0694
367,2024-06-25,1.07329,1.07442,1.06903,1.07123,1.07199
368,2024-06-24,1.06906,1.07465,1.06834,1.07332,1.07134
369,2024-06-21,1.07039,1.07206,1.06707,1.0691,1.06966
370,2024-06-20,1.07441,1.0749,1.06994,1.0704,1.07241
371,2024-06-19,1.07401,1.07534,1.07244,1.0744,1.07405
372,2024-06-18,1.07314,1.07615,1.07098,1.074,1.07357
373,2024-06-17,1.07045,1.0738,1.06862,1.07313,1.0715
374,2024-06-14,1.07386,1.0745,1.06673,1.07025,1.07133
375,2024-06-13,1.0812,1.08164,1.07309,1.07388,1.07745
376,2024-06-12,1.07425,1.08523,1.07343,1.08109,1.0785
377,2024-06-11,1.07649,1.07734,1.0719,1.07416,1.07497
378,2024-06-10,1.07713,1.07817,1.07325,1.07648,1.07626
379,2024-06-07,1.08893,1.0902,1.07993,1.08,1.08476
380,2024-06-06,1.087,1.0902,1.08617,1.08891,1.08807
381,2024-06-05,1.08788,1.08915,1.08541,1.08702,1.08737
382,2024-06-04,1.09017,1.0916,1.08585,1.08786,1.08887
383,2024-06-03,1.08462,1.09045,1.0826,1.09028,1.08699
384,2024-05-31,1.08334,1.08823,1.08109,1.0845,1.08429
385,2024-05-30,1.08032,1.08451,1.07879,1.08334,1.08174
386,2024-05-29,1.08572,1.08604,1.07991,1.08029,1.08299
387,2024-05-28,1.08563,1.0889,1.08542,1.08569,1.08641
388,2024-05-27,1.08444,1.08675,1.08404,1.0856,1.08521
389,2024-05-24,1.08144,1.0858,1.08052,1.0845,1.08306
390,2024-05-23,1.08233,1.0861,1.08045,1.08142,1.08257
391,2024-05-22,1.08551,1.08635,1.0817,1.08233,1.08397
392,2024-05-21,1.08593,1.08748,1.08424,1.0855,1.08579
393,2024-05-20,1.08688,1.08845,1.0853,1.08592,1.08664
394,2024-05-17,1.0866,1.08786,1.08353,1.08674,1.08618
395,2024-05-16,1.08828,1.0895,1.0854,1.08656,1.08744
396,2024-05-15,1.08171,1.0886,1.08128,1.08832,1.08498
397,2024-05-14,1.07896,1.08257,1.07668,1.08163,1.07996
398,2024-05-13,1.07706,1.08068,1.07655,1.07883,1.07828
399,2024-05-10,1.07805,1.07901,1.07602,1.07694,1.0775
400,2024-05-09,1.07475,1.07847,1.07236,1.07807,1.07591
401,2024-05-08,1.07553,1.07575,1.0733,1.07474,1.07483
402,2024-05-07,1.07685,1.07874,1.07477,1.07559,1.07649
403,2024-05-06,1.0763,1.07907,1.0755,1.07689,1.07694
404,2024-05-03,1.07221,1.08124,1.07221,1.07609,1.07544
405,2024-05-02,1.07114,1.07302,1.0674,1.07233,1.07097
406,2024-05-01,1.06688,1.07328,1.0649,1.07096,1.069
407,2024-04-30,1.07205,1.07353,1.06628,1.0669,1.06969
408,2024-04-29,1.06946,1.07337,1.06898,1.07203,1.07096
409,2024-04-26,1.07284,1.0753,1.06737,1.06922,1.07118
410,2024-04-25,1.0697,1.074,1.06782,1.07281,1.07108
411,2024-04-24,1.07019,1.07142,1.06776,1.06967,1.06976
412,2024-04-23,1.06519,1.07113,1.0638,1.07019,1.06758
413,2024-04-22,1.06556,1.06706,1.06237,1.06513,1.06503
414,2024-04-19,1.06431,1.06776,1.06102,1.06526,1.06459
415,2024-04-18,1.06715,1.069,1.0641,1.06435,1.06615
416,2024-04-17,1.06164,1.06796,1.06059,1.06709,1.06432
417,2024-04-16,1.06238,1.06535,1.0601,1.06146,1.06232
418,2024-04-15,1.06337,1.06652,1.062,1.06234,1.06356
419,2024-04-12,1.07265,1.07293,1.0622,1.06385,1.06791
420,2024-04-11,1.07429,1.07566,1.06989,1.07267,1.07313
421,2024-04-10,1.08569,1.08665,1.07285,1.07429,1.07987
422,2024-04-09,1.08589,1.08851,1.08475,1.08575,1.08623
423,2024-04-08,1.08371,1.0863,1.08206,1.0859,1.08449
424,2024-04-05,1.08381,1.0848,1.07912,1.0836,1.08283
425,2024-04-04,1.08331,1.08766,1.08314,1.08382,1.08448
426,2024-04-03,1.07722,1.0837,1.07637,1.08334,1.08016
427,2024-04-02,1.07435,1.0779,1.07244,1.07734,1.07551
428,2024-04-01,1.0791,1.0799,1.07307,1.07428,1.07659
429,2024-03-29,1.07889,1.08051,1.07677,1.079,1.07879
430,2024-03-28,1.0826,1.0827,1.07748,1.0789,1.08042
431,2024-03-27,1.08319,1.08391,1.08104,1.08258,1.08268
432,2024-03-26,1.08364,1.08643,1.0824,1.08316,1.08391
433,2024-03-25,1.08074,1.08426,1.08019,1.08359,1.0822
434,2024-03-22,1.08605,1.08681,1.08015,1.0805,1.08338
435,2024-03-21,1.09206,1.09426,1.08551,1.08605,1.08947
436,2024-03-20,1.08653,1.0923,1.0836,1.09211,1.08864
437,2024-03-19,1.08728,1.08766,1.08345,1.08649,1.08622
438,2024-03-18,1.08878,1.09061,1.08658,1.08721,1.0883
439,2024-03-15,1.08853,1.08997,1.08726,1.08869,1.08861
440,2024-03-14,1.09485,1.0955,1.08804,1.08847,1.09172
441,2024-03-13,1.09258,1.09638,1.09199,1.09479,1.09393
442,2024-03-12,1.09258,1.09438,1.09021,1.09255,1.09243
443,2024-03-11,1.09393,1.09481,1.0914,1.09257,1.09318
444,2024-03-08,1.0948,1.09813,1.09183,1.09381,1.09464
445,2024-03-07,1.0898,1.09493,1.08677,1.0948,1.09158
446,2024-03-06,1.0856,1.09153,1.08418,1.08986,1.08779
447,2024-03-05,1.0856,1.08762,1.08401,1.08547,1.08568
448,2024-03-04,1.0838,1.0867,1.08349,1.08555,1.08488
449,2024-03-01,1.08046,1.08432,1.0798,1.08368,1.08206
450,2024-02-29,1.08363,1.0856,1.07956,1.08053,1.08233
451,2024-02-28,1.08437,1.08474,1.07965,1.08377,1.08313
452,2024-02-27,1.08504,1.0866,1.08328,1.08437,1.08482
453,2024-02-26,1.08319,1.08597,1.08124,1.08509,1.08387
454,2024-02-23,1.08221,1.08396,1.08115,1.08188,1.0823
455,2024-02-22,1.08182,1.08882,1.08025,1.08222,1.08328
456,2024-02-21,1.08075,1.08245,1.07897,1.08185,1.081
457,2024-02-20,1.0777,1.0839,1.07614,1.08076,1.07962
458,2024-02-19,1.07719,1.07894,1.07618,1.07785,1.07754
459,2024-02-16,1.07718,1.07874,1.07318,1.07749,1.07665
460,2024-02-15,1.07243,1.07848,1.07224,1.0772,1.07509
